Strategy,Greens,ProfitFilter,Wait,Avg Return,Median Return,Win Rate,Min,Max
Count=5 | Profit=False | Wait=10m,5,False,10,6.1187355484266925,2.420135527589545,60.0,-4.0,43.333866910587695
Count=5 | Profit=True | Wait=10m,5,True,10,6.1187355484266925,2.420135527589545,60.0,-4.0,43.333866910587695
Count=4 | Profit=False | Wait=5m,4,False,5,5.922822062402381,2.420135527589545,60.0,-4.0,41.230276697919045
Count=4 | Profit=True | Wait=5m,4,True,5,5.922822062402381,2.420135527589545,60.0,-4.0,41.230276697919045
Count=5 | Profit=False | Wait=0m,5,False,0,5.921396095602998,2.420135527589545,60.0,-4.0,41.230276697919045
Count=5 | Profit=True | Wait=0m,5,True,0,5.921396095602998,2.420135527589545,60.0,-4.0,41.230276697919045
Count=3 | Profit=True | Wait=10m,3,True,10,5.820605190884821,2.313769751693003,60.0,-4.0,41.230276697919045
Count=5 | Profit=True | Wait=5m,5,True,5,5.796106249259135,2.420135527589545,60.0,-4.0,36.04344843356963
Count=5 | Profit=False | Wait=5m,5,False,5,5.796106249259135,2.420135527589545,60.0,-4.0,36.04344843356963
Count=4 | Profit=True | Wait=0m,4,True,0,5.74758674132956,2.420135527589545,60.0,-4.0,42.876743654241935
Count=4 | Profit=False | Wait=0m,4,False,0,5.74758674132956,2.420135527589545,60.0,-4.0,42.876743654241935
Count=3 | Profit=False | Wait=10m,3,False,10,5.737352528735742,2.313769751693003,56.00000000000001,-4.0,41.230276697919045
Count=3 | Profit=True | Wait=0m,3,True,0,5.728410377210414,2.420135527589545,60.0,-4.0,47.17585181797392
Count=4 | Profit=True | Wait=10m,4,True,10,5.701034588140231,2.420135527589545,60.0,-4.0,36.04344843356963
Count=4 | Profit=False | Wait=10m,4,False,10,5.701034588140231,2.420135527589545,60.0,-4.0,36.04344843356963
Count=3 | Profit=False | Wait=0m,3,False,0,5.575457811866754,2.313769751693003,56.00000000000001,-4.0,47.17585181797392
Count=3 | Profit=True | Wait=5m,3,True,5,5.572301770311145,2.313769751693003,60.0,-4.0,42.876743654241935
Count=3 | Profit=False | Wait=5m,3,False,5,5.482272728684814,2.313769751693003,56.00000000000001,-4.0,42.876743654241935
Count=2 | Profit=True | Wait=10m,2,True,10,5.188427309441888,4.063769751692995,60.0,-4.0,27.738394694717577
Count=2 | Profit=False | Wait=10m,2,False,10,5.098398267815558,4.063769751692995,56.00000000000001,-4.0,27.738394694717577
Count=2 | Profit=True | Wait=0m,2,True,0,4.927656450811817,3.6144578313252955,60.0,-4.0,30.009792575447335
Count=2 | Profit=False | Wait=0m,2,False,0,4.79608641572712,3.6144578313252955,56.00000000000001,-4.0,30.009792575447335
Count=2 | Profit=True | Wait=5m,2,True,5,4.757626518216375,4.751673360107091,60.0,-4.0,26.199590492299468
Count=2 | Profit=False | Wait=5m,2,False,5,4.693734940288011,4.751673360107091,56.00000000000001,-4.0,26.199590492299468
