Threshold,AvgReturn,TradeCount,TradesPerDay
-1.4999999999999996,1.6900763358778472,1,0.125
-1.3999999999999995,1.6900763358778472,1,0.125
-1.2999999999999994,1.6900763358778472,1,0.125
-1.1999999999999993,5.458729120701132,2,0.25
-1.0999999999999992,7.031830671818823,3,0.375
-0.9999999999999991,13.317550113399903,4,0.5
-0.899999999999999,7.661745905114143,6,0.75
-0.7999999999999989,5.995782204383553,7,0.875
-0.6999999999999988,4.122457379134061,10,1.25
-0.5999999999999988,5.391291953423264,13,1.625
-0.49999999999999867,5.391291953423264,13,1.625
-0.3999999999999986,3.7257200991855375,17,2.125
-0.2999999999999985,3.0975489865570323,19,2.375
-0.1999999999999984,4.236634279570599,25,3.125
-0.09999999999999831,4.329663884215973,28,3.5
1.7763568394002505e-15,3.501881195589824,35,4.375
0.10000000000000187,3.7491454855510677,37,4.625
0.20000000000000195,3.2693356348868727,42,5.25
0.30000000000000204,3.220832279736878,43,5.375
0.40000000000000213,3.292422363947476,48,6.0
0.5000000000000022,2.9845278501538877,51,6.375
0.6000000000000023,2.7402102951176235,55,6.875
0.7000000000000024,2.8006795941458527,57,7.125
0.8000000000000025,2.6312626865760484,59,7.375
0.9000000000000026,2.470252737086177,61,7.625
1.0000000000000027,2.3689864770373927,64,8.0
1.1000000000000028,2.4973050544482414,65,8.125
1.2000000000000028,2.4973050544482414,65,8.125
1.300000000000003,2.4973050544482414,65,8.125
1.400000000000003,2.409062143519971,66,8.25
1.500000000000003,2.409062143519971,66,8.25
1.6000000000000032,2.409062143519971,66,8.25
1.7000000000000033,2.409062143519971,66,8.25
1.8000000000000034,2.409062143519971,66,8.25
1.9000000000000035,2.409062143519971,66,8.25
2.0000000000000036,2.409062143519971,66,8.25
